S/N,Date,Type of Waste,# of Trips,UoM,W. Entrance,W. Exit,W. Net,,,,,
405,26-Jan-2025,Sub-base,1,Ton,N/A,N/A,36.00,,,,Filter ,oversize
406,27-Jan-2025,Sub-base,1,Ton,N/A,N/A,36.00,,,,,
407,27-Jan-2025,Sub-base,1,Ton,N/A,N/A,36.00,,,,,
408,27-Jan-2025,Sub-base,1,Ton,N/A,N/A,36.00,,,,,
409,30-Jan-2025,Sub-base,1,Ton,N/A,N/A,36.00,,,,,
410,25-Feb-2025,sand,2,Ton,N/A,N/A,46.30,,,,,
411,26-Feb-2025,sub-grade,2,Ton,N/A,N/A,121.00,,,,,
412,26-Feb-2025,Sand,9,Ton,N/A,N/A,242.74,,,,,
413,27-Feb-2025,sand,4,Ton,N/A,N/A,122.94,,,,,
414,27-Feb-2025,sub-base,2,Ton,N/A,N/A,57.00,,,,,
415,27-Feb-2025,Sub-grade,1,Ton,N/A,N/A,56.56,,,,,
416,28-Feb-2025,sand,4,Ton,N/A,N/A,116.74,,,,,
417,28-Feb-2025,sub-base,1,Ton,N/A,N/A,88.00,,,,,
418,28-Feb-2025,"3/4""",1,Ton,N/A,N/A,49.00,,,,,
419,28-Feb-2025,Powder,2,Ton,N/A,N/A,97.04,,,,,
420,28-Feb-2025,sub-grade,8,Ton,N/A,N/A,422.02,,,,,
421,1-Mar-2025,Powder,-,Ton,N/A,N/A,47.98,,,,,
422,1-Mar-2025,Sand,-,Ton,N/A,N/A,79.68,,,,,
423,2-Mar-2025,Sub-base,-,Ton,N/A,N/A,97.38,,,,,
424,3-Mar-2025,Sub-base,3,Ton,N/A,N/A,89.73,,,,,
425,3-Mar-2025,Sand,1,Ton,N/A,N/A,29.60,,,,,
426,3-Mar-2025,"1/2""",1,Ton,N/A,N/A,49.86,,,,,
427,4-Mar-2025,"3/4""",2,Ton,N/A,N/A,90.10,,,,,
428,4-Mar-2025,Sand,10,Ton,N/A,N/A,232.01,,,,,
429,4-Mar-2025,Sub-base,1,Ton,N/A,N/A,30.00,,,,,
430,5-Mar-2025,"3/4""",2,Ton,N/A,N/A,80.74,,,,,
431,5-Mar-2025,Powder,1,Ton,N/A,N/A,30.00,,,,,
432,5-Mar-2025,Oversize,1,Ton,N/A,N/A,21.74,,,,,
433,5-Mar-2025,Sand,2,Ton,N/A,N/A,54.90,,,,,
434,5-Mar-2025,Sub-base,1,Ton,N/A,N/A,31.00,,,,,
435,6-Mar-2025,"1/2""",1,Ton,N/A,N/A,44.96,,,,,
436,6-Mar-2025,Sub-base,1,Ton,N/A,N/A,27.20,,,,,
437,7-Mar-2025,Powder,1,Ton,N/A,N/A,46.06,,,,,
438,7-Mar-2025,Sand,1,Ton,N/A,N/A,43.50,,,,,
439,8-Mar-2025,Powder,1,Ton,N/A,N/A,30.20,,,,,
440,8-Mar-2025,Sand,8,Ton,N/A,N/A,314.26,,,,,
441,8-Mar-2025,Sub-base,1,Ton,N/A,N/A,31.30,,,,,
442,9-Mar-2025,"Zero-3/16""",2,Ton,N/A,N/A,98.66,,,,,
443,9-Mar-2025,Sand,6,Ton,N/A,N/A,216.84,,,,,
444,9-Mar-2025,sub-base,1,Ton,N/A,N/A,30.62,,,,,
445,10-Mar-2025,"Zero-3/16""",1,Ton,N/A,N/A,49.16,,,,,
446,10-Mar-2025,"3/4""",1,Ton,N/A,N/A,44.00,,,,,
447,10-Mar-2025,Oversize,1,Ton,N/A,N/A,54.26,,,,,
448,10-Mar-2025,Powder,2,Ton,N/A,N/A,61.21,,,,,
449,10-Mar-2025,Sand,3,Ton,N/A,N/A,105.74,,,,,
450,11-Mar-2025,Sand,1,Ton,N/A,N/A,29.20,,,,,
451,11-Mar-2025,"1/2""",1,Ton,N/A,N/A,51.82,,,,,
452,12-Mar-2025,Powder,4,Ton,N/A,N/A,123.68,,,,,
453,12-Mar-2025,Sand,1,Ton,N/A,N/A,24.20,,,,,
454,13-Mar-2025,Sand,2,Ton,N/A,N/A,54.16,,,,,
455,13-Mar-2025,"3/4""",2,Ton,N/A,N/A,85.08,,,,,
456,13-Mar-2025,Powder,3,Ton,N/A,N/A,84.80,,,,,
457,15-Mar-2025,Powder,3,Ton,N/A,N/A,95.40,,,,,
458,15-Mar-2025,sub-base,5,Ton,N/A,N/A,176.22,,,,,
459,15-Mar-2025,Sand,4,Ton,N/A,N/A,134.96,,,,,
460,15-Mar-2025,A1A,10,Ton,N/A,N/A,321.78,,,,,
461,14-Mar-2025,"1/2""",1,Ton,N/A,N/A,49.56,,,,,
462,16-Mar-2025,Sand,2,Ton,N/A,N/A,66.94,,,,,
463,16-Mar-2025,sub-base,7,Ton,N/A,N/A,212.92,,,,,
464,16-Mar-2025,A1A,11,Ton,N/A,N/A,370.84,,,,,
465,17-Mar-2025,Sand,3,Ton,N/A,N/A,108.20,,,,,
466,17-Mar-2025,Powder,5,Ton,N/A,N/A,211.04,,,,,
467,17-Mar-2025,Sub-base,2,Ton,N/A,N/A,58.76,,,,,
468,17-Mar-2025,A1A,8,Ton,N/A,N/A,262.64,,,,,
469,18-Mar-2025,sand,2,Ton,N/A,N/A,51.80,,,,,
470,18-Mar-2025,Powder,2,Ton,N/A,N/A,88.66,,,,,
471,18-Mar-2025,A1A,3,Ton,N/A,N/A,102.78,,,,,
472,19-Mar-2025,Sand,3,Ton,N/A,N/A,84.64,,,,,
473,19-Mar-2025,Powder,3,Ton,N/A,N/A,119.16,,,,,
474,19-Mar-2025,Sub-base,4,Ton,N/A,N/A,139.50,,,,,
475,20-Mar-2025,Oversize,1,Ton,N/A,N/A,40.22,,,,,
476,20-Mar-2025,Powder,3,Ton,N/A,N/A,142.64,,,,,
477,20-Mar-2025,Sand,1,Ton,N/A,N/A,29.52,,,,,
478,23-Mar-2025,Oversize,29,Ton,N/A,N/A,"1,031.96",,,,,
479,23-Mar-2025,Sub-base,3,Ton,N/A,N/A,98.28,,,,,
480,23-Mar-2025,Sand,4,Ton,N/A,N/A,115.92,,,,,
481,24-Mar-2025,Sand,4,Ton,N/A,N/A,138.20,,,,,
482,25-Mar-2025,Sand,6,Ton,N/A,N/A,173.20,,,,,
483,26-Mar-2025,Sand,12,Ton,N/A,N/A,302.02,,,,,
484,27-Mar-2025,Sand,7,Ton,N/A,N/A,184.16,,,,,
485,27-Mar-2025,Sub-base,2,Ton,N/A,N/A,63.50,,,,,
486,3-Apr-2025,sand,1,Ton,N/A,N/A,24.20,,,,,
487,3-Apr-2025,Sub-base,1,Ton,N/A,N/A,36.14,,,,,
488,5-Apr-2025,Sand,1,Ton,N/A,N/A,39.04,,,,,
489,5-Apr-2025,Sub-base,3,Ton,N/A,N/A,124.34,,,,,
490,6-Apr-2025,Sand,9,Ton,N/A,N/A,268.78,,,,,
491,6-Apr-2025,Sub-base,2,Ton,N/A,N/A,54.40,,,,,
492,6-Apr-2025,Aggregate,1,Ton,N/A,N/A,50.56,,,,,
493,7-Apr-2025,Sand,12,Ton,N/A,N/A,308.46,,,,,
494,7-Apr-2025,Sub-base,1,Ton,N/A,N/A,28.20,,,,,
495,8-Apr-2025,Sand,12,Ton,N/A,N/A,343.16,,,,,
496,8-Apr-2025,Sub-base,3,Ton,N/A,N/A,95.60,,,,,
497,8-Apr-2025,Oversize,1,Ton,N/A,N/A,34.72,,,,,
498,9-Apr-2025,Sand,11,Ton,N/A,N/A,297.60,,,,,
499,9-Apr-2025,Oversize,7,Ton,N/A,N/A,231.10,,,,,
500,10-Apr-2025,Sand,4,Ton,N/A,N/A,127.20,,,,,
501,10-Apr-2025,Oversize,4,Ton,N/A,N/A,135.20,,,,,
502,12-Apr-2025,Sand,3,Ton,N/A,N/A,101.04,,,,,
503,12-Apr-2025,Oversize,20,Ton,N/A,N/A,604.48,,,,,
504,13-Apr-2025,Sand,3,Ton,N/A,N/A,105.60,,,,,
505,13-Apr-2025,Sub-base,2,Ton,N/A,N/A,55.90,,,,,
506,13-Apr-2025,Oversize,38,Ton,N/A,N/A,"1,371.00",,,,,
507,14-Apr-2025,Sand,3,Ton,N/A,N/A,132.46,,,,,
508,14-Apr-2025,Sub-base,1,Ton,N/A,N/A,27.60,,,,,
509,14-Apr-2025,Oversize,41,Ton,N/A,N/A,"1,468.88",,,,,
510,15-Apr-2025,Sand,7,Ton,N/A,N/A,209.76,,,,,
511,15-Apr-2025,Sub-base,4,Ton,N/A,N/A,113.74,,,,,
512,15-Apr-2025,Oversize,1,Ton,N/A,N/A,32.86,,,,,
513,16-Apr-2025,Sand,5,Ton,N/A,N/A,140.00,,,,,
514,16-Apr-2025,Sub-base,2,Ton,N/A,N/A,61.46,,,,,
515,16-Apr-2025,Oversize,5,Ton,N/A,N/A,166.40,,,,,
516,17-Apr-2025,Sand,1,Ton,N/A,N/A,26.30,,,,,
517,17-Apr-2025,Sub-base,1,Ton,N/A,N/A,27.50,,,,,
518,17-Apr-2025,Oversize,12,Ton,N/A,N/A,387.72,,,,,
519,18-Apr-2025,Sub-base,4,Ton,N/A,N/A,109.90,,,,,
520,18-Apr-2025,Oversize,4,Ton,N/A,N/A,136.42,,,,,
521,19-Apr-2025,Sub-base,1,Ton,N/A,N/A,27.50,,,,,
522,19-Apr-2025,Oversize,7,Ton,N/A,N/A,223.44,,,,,
523,20-Apr-2025,Sand,1,Ton,N/A,N/A,25.48,,,,,
524,20-Apr-2025,Oversize,23,Ton,N/A,N/A,757.86,,,,,
525,21-Apr-2025,Sand,23,Ton,N/A,N/A,508.44,,,,,
526,21-Apr-2025,Sub-base,4,Ton,N/A,N/A,104.62,,,,,
527,21-Apr-2025,Oversize,25,Ton,N/A,N/A,767.24,,,,,
528,22-Apr-2025,Sand,28,Ton,N/A,N/A,672.96,,,,,
529,22-Apr-2025,Sub-base,8,Ton,N/A,N/A,206.88,,,,,
530,22-Apr-2025,Oversize,9,Ton,N/A,N/A,308.59,,,,,
531,23-Apr-2025,Sand,33,Ton,N/A,N/A,779.35,,,,,
532,23-Apr-2025,Sub-base,3,Ton,N/A,N/A,81.08,,,,,
533,23-Apr-2025,Oversize,10,Ton,N/A,N/A,350.80,,,,,
534,23-Apr-2025,Aggregate,1,Ton,N/A,N/A,24.75,,,,,
535,24-Apr-2025,Sand,21,Ton,N/A,N/A,518.47,,,,,
536,24-Apr-2025,Sub-base,9,Ton,N/A,N/A,229.26,,,,,
537,24-Apr-2025,Oversize,5,Ton,N/A,N/A,184.42,,,,,
538,25-Apr-2025,sub-base,8,Ton,N/A,N/A,191.84,,,,,
539,26-Apr-2025,Sand,15,Ton,N/A,N/A,353.17,,,,,
540,26-Apr-2025,Oversize,5,Ton,N/A,N/A,157.28,,,,,
541,26-Apr-2025,Aggregate,1,Ton,N/A,N/A,31.45,,,,,
542,27-Apr-2025,Sand,28,Ton,N/A,N/A,642.79,,,,,
543,27-Apr-2025,Oversize,7,Ton,N/A,N/A,251.82,,,,,
544,27-Apr-2025,sub-base,5,Ton,N/A,N/A,122.84,,,,,
545,28-Apr-2025,Sand,28,Ton,N/A,N/A,629.80,,,,,
546,28-Apr-2025,Oversize,6,Ton,N/A,N/A,199.72,,,,,
547,28-Apr-2025,sub-base,8,Ton,N/A,N/A,289.00,,,,,
548,29-Apr-2025,Sand,35,Ton,N/A,N/A,813.42,,,,,
549,29-Apr-2025,Oversize,7,Ton,N/A,N/A,224.18,,,,,
550,29-Apr-2025,sub-base,28,Ton,N/A,N/A,"1,045.72",,,,,
551,30-Apr-2025,Sand,35,Ton,N/A,N/A,799.21,,,,,
552,30-Apr-2025,Oversize,5,Ton,N/A,N/A,171.74,,,,,
553,30-Apr-2025,sub-base,28,Ton,N/A,N/A,"1,013.60",,,,,
554,1-May-2025,Sand,11,Ton,N/A,N/A,258.72,,,,,
555,1-May-2025,Oversize,9,Ton,N/A,N/A,277.48,,,,,
556,1-May-2025,sub-base,21,Ton,N/A,N/A,769.14,,,,,
557,2-May-2025,Sand,15,Ton,N/A,N/A,339.24,,,,,
558,3-May-2025,Sand,44,Ton,N/A,N/A,996.04,,,,,
559,3-May-2025,Oversize,23,Ton,N/A,N/A,696.84,,,,,
560,3-May-2025,sub-base,4,Ton,N/A,N/A,111.40,,,,,
561,4-May-2025,Oversize,14,Ton,N/A,N/A,484.62,,,,,
562,4-May-2025,sub-base,11,Ton,N/A,N/A,279.29,,,,,
563,4-May-2025,Sand,28,Ton,N/A,N/A,621.18,,,,,
564,5-May-2025,Oversize,11,Ton,N/A,N/A,388.48,,,,,
565,5-May-2025,Sand,31,Ton,N/A,N/A,694.97,,,,,
566,5-May-2025,sub-base,3,Ton,N/A,N/A,85.50,,,,,
567,6-May-2025,Oversize,16,Ton,N/A,N/A,560.02,,,,,
568,6-May-2025,Sand,29,Ton,N/A,N/A,617.06,,,,,
569,6-May-2025,sub-base,19,Ton,N/A,N/A,572.90,,,,,
570,7-May-2025,Oversize,15,Ton,N/A,N/A,468.94,,,,,
571,7-May-2025,Sand,29,Ton,N/A,N/A,626.32,,,,,
572,7-May-2025,sub-base,3,Ton,N/A,N/A,88.40,,,,,
573,8-May-2025,Oversize,16,Ton,N/A,N/A,348.73,,,,,
574,8-May-2025,Sand,17,Ton,N/A,N/A,382.48,,,,,
575,8-May-2025,sub-base,1,Ton,N/A,N/A,26.30,,,,,
576,10-May-2025,Oversize,37,Ton,N/A,N/A,"1,314.94",,,,,
577,10-May-2025,Sand,2,Ton,N/A,N/A,44.52,,,,,
578,10-May-2025,sub-base,13,Ton,N/A,N/A,355.56,,,,,
579,11-May-2025,sub-base,22,Ton,N/A,N/A,683.86,,,,,
580,11-May-2025,Sand,16,Ton,N/A,N/A,345.24,,,,,
581,12-May-2025,sub-base,8,Ton,N/A,N/A,276.90,,,,,
582,12-May-2025,Sand,17,Ton,N/A,N/A,364.62,,,,,
583,13-May-2025,sub-base,13,Ton,N/A,N/A,407.30,,,,,
584,13-May-2025,Sand,17,Ton,N/A,N/A,364.18,,,,,
585,14-May-2025,sub-base,16,Ton,N/A,N/A,515.38,,,,,
586,14-May-2025,Sand,17,Ton,N/A,N/A,393.88,,,,,
587,15-May-2025,sub-base,9,Ton,N/A,N/A,295.46,,,,,
588,15-May-2025,Sand,11,Ton,N/A,N/A,255.22,,,,,
589,17-May-2025,sub-base,32,Ton,N/A,N/A,961.46,,,,,
590,17-May-2025,Sand,22,Ton,N/A,N/A,525.28,,,,,
591,18-May-2025,sub-base,14,Ton,N/A,N/A,367.54,,,,,
592,18-May-2025,Sand,42,Ton,N/A,N/A,965.00,,,,,
593,19-May-2025,sub-base,16,Ton,N/A,N/A,416.50,,,,,
594,19-May-2025,Sand,34,Ton,N/A,N/A,753.13,,,,,
595,19-May-2025,Powder,1,Ton,N/A,N/A,27.20,,,,,
596,20-May-2025,sub-base,21,Ton,N/A,N/A,677.72,,,,,
597,20-May-2025,Sand,44,Ton,N/A,N/A,987.82,,,,,
598,21-May-2025,"3/4""",1,Ton,N/A,N/A,11.38,,,,,
599,21-May-2025,sub-base,20,Ton,N/A,N/A,636.41,,,,,
600,21-May-2025,Sand,27,Ton,N/A,N/A,616.82,,,,,
601,22-May-2025,"3/8""",1,Ton,N/A,N/A,30.11,,,,,
602,22-May-2025,sub-base,11,Ton,N/A,N/A,332.74,,,,,
603,22-May-2025,Sand,5,Ton,N/A,N/A,119.96,,,,,
604,23-May-2025,"3/4""",1,Ton,N/A,N/A,23.08,,,,,
605,23-May-2025,sub-base,1,Ton,N/A,N/A,28.10,,,,,
606,23-May-2025,Sand,8,Ton,N/A,N/A,174.72,,,,,
607,23-May-2025,Powder,4,Ton,N/A,N/A,108.35,,,,,
608,24-May-2025,"3/4""",1,Ton,N/A,N/A,18.62,,,,,
609,24-May-2025,sub-base,55,Ton,N/A,N/A,"1,755.36",,,,,
610,24-May-2025,Sand,27,Ton,N/A,N/A,625.74,,,,,
611,25-May-2025,"3/4""",1,Ton,N/A,N/A,29.24,,,,,
612,25-May-2025,sub-base,34,Ton,N/A,N/A,"1,146.08",,,,,
613,25-May-2025,Sand,26,Ton,N/A,N/A,599.96,,,,,
614,26-May-2025,"3/4""",1,Ton,N/A,N/A,7.72,,,,,
615,26-May-2025,sub-base,36,Ton,N/A,N/A,"1,178.53",,,,,
616,26-May-2025,Sand,25,Ton,N/A,N/A,570.04,,,,,
617,27-May-2025,sub-base,34,Ton,N/A,N/A,"1,075.56",,,,,
618,27-May-2025,Sand,23,Ton,N/A,N/A,533.01,,,,,
619,28-May-2025,"3/4""",1,Ton,N/A,N/A,38.50,,,,,
620,28-May-2025,sub-base,33,Ton,N/A,N/A,"1,013.05",,,,,
621,28-May-2025,Sand,42,Ton,N/A,N/A,993.98,,,,,
622,28-May-2025,Powder,5,Ton,N/A,N/A,195.79,,,,,
623,29-May-2025,sub-base,28,Ton,N/A,N/A,830.18,,,,,
624,29-May-2025,Sand,16,Ton,N/A,N/A,391.23,,,,,
625,29-May-2025,Powder,4,Ton,N/A,N/A,172.40,,,,,
626,30-May-2025,"3/4""",2,Ton,N/A,N/A,48.67,,,,,
627,30-May-2025,sub-base,2,Ton,N/A,N/A,58.86,,,,,
628,30-May-2025,Sand,6,Ton,N/A,N/A,143.21,,,,,
629,31-May-2025,"3/4""",3,Ton,N/A,N/A,74.26,,,,,
630,31-May-2025,sub-base,51,Ton,N/A,N/A,"1,621.64",,,,,
631,31-May-2025,Sand,21,Ton,N/A,N/A,494.26,,,,,
632,31-May-2025,Powder,4,Ton,N/A,N/A,169.90,,,,,
633,1-Jun-2025,Oversize,22,Ton,N/A,N/A,773.92,,,,,
634,1-Jun-2025,Powder,2,Ton,N/A,N/A,85.10,,,,,
635,1-Jun-2025,Sand,16,Ton,N/A,N/A,387.01,,,,,
636,1-Jun-2025,sub-base,5,Ton,N/A,N/A,135.90,,,,,
637,1-Jun-2025,"3/4""",2,Ton,N/A,N/A,47.22,,,,,
638,2-Jun-2025,Oversize,4,Ton,N/A,N/A,146.60,,,,,
639,2-Jun-2025,"3/4""",2,Ton,N/A,N/A,49.55,,,,,
640,2-Jun-2025,Sand,40,Ton,N/A,N/A,903.78,,,,,
641,2-Jun-2025,sub-base,9,Ton,N/A,N/A,212.99,,,,,
642,3-Jun-2025,Oversize,14,Ton,N/A,N/A,481.60,,,,,
643,3-Jun-2025,"3/4""",1,Ton,N/A,N/A,14.10,,,,,
644,3-Jun-2025,Sand,27,Ton,N/A,N/A,625.93,,,,,
645,3-Jun-2025,sub-base,9,Ton,N/A,N/A,256.70,,,,,
646,4-Jun-2025,Oversize,18,Ton,N/A,N/A,622.04,,,,,
647,4-Jun-2025,Sand,42,Ton,N/A,N/A,931.97,,,,,
648,4-Jun-2025,sub-base,19,Ton,N/A,N/A,531.85,,,,,
649,5-Jun-2025,sand,3,Ton,N/A,N/A,66.70,,,,,
650,10-Jun-2025,Powder,1,Ton,N/A,N/A,42.10,,,,,
651,10-Jun-2025,Sand,14,Ton,N/A,N/A,318.45,,,,,
652,10-Jun-2025,sub-base,21,Ton,N/A,N/A,545.85,,,,,
653,10-Jun-2025,"3/4""",1,Ton,N/A,N/A,31.45,,,,,
654,10-Jun-2025,"3/8""",1,Ton,N/A,N/A,33.16,,,,,
655,10-Jun-2025,Oversize,18,Ton,N/A,N/A,612.06,,,,,
656,11-Jun-2025,"1/2""",1,Ton,N/A,N/A,33.98,,,,,
657,11-Jun-2025,0-5mm,5,Ton,N/A,N/A,218.62,,,,,
658,11-Jun-2025,Oversize,19,Ton,N/A,N/A,673.74,,,,,
659,11-Jun-2025,Sand,27,Ton,N/A,N/A,601.81,,,,,
660,11-Jun-2025,sub-base,24,Ton,N/A,N/A,614.71,,,,,
661,12-Jun-2025,"3/4""",6,Ton,N/A,N/A,200.52,,,,,
662,12-Jun-2025,"3/8""",5,Ton,N/A,N/A,158.20,,,,,
663,12-Jun-2025,sub-base,5,Ton,N/A,N/A,138.26,,,,,
664,12-Jun-2025,0-5mm,2,Ton,N/A,N/A,97.80,,,,,
665,12-Jun-2025,Sand,22,Ton,N/A,N/A,484.47,,,,,
666,13-Jun-2025,Powder,3,Ton,N/A,N/A,133.10,,,,,
667,13-Jun-2025,Sand,2,Ton,N/A,N/A,53.52,,,,,
668,14-Jun-2025,"3/4""",24,Ton,N/A,N/A,673.40,,,,,
669,14-Jun-2025,"3/8""",5,Ton,N/A,N/A,156.62,,,,,
670,14-Jun-2025,sub-base,13,Ton,N/A,N/A,412.39,,,,,
671,14-Jun-2025,0-5mm,9,Ton,N/A,N/A,460.13,,,,,
672,14-Jun-2025,Sand,26,Ton,N/A,N/A,589.33,,,,,
673,14-Jun-2025,Oversize,21,Ton,N/A,N/A,732.96,,,,,
674,15-Jun-2025,"3/4""",24,Ton,N/A,N/A,684.26,,,,,
675,15-Jun-2025,"3/8""",6,Ton,N/A,N/A,177.58,,,,,
676,15-Jun-2025,sub-base,32,Ton,N/A,N/A,"1,104.18",,,,,
677,15-Jun-2025,Sand,30,Ton,N/A,N/A,670.20,,,,,
678,15-Jun-2025,Oversize,9,Ton,N/A,N/A,317.94,,,,,
679,15-Jun-2025,Powder,7,Ton,N/A,N/A,385.88,,,,,
680,15-Jun-2025,0-5mm,8,Ton,N/A,N/A,406.91,,,,,
681,16-Jun-2025,"3/4""",6,Ton,N/A,N/A,180.46,,,,,
682,16-Jun-2025,"3/8""",4,Ton,N/A,N/A,125.46,,,,,
683,16-Jun-2025,sub-base,20,Ton,N/A,N/A,764.98,,,,,
684,16-Jun-2025,Sand,29,Ton,N/A,N/A,664.71,,,,,
685,16-Jun-2025,Oversize,11,Ton,N/A,N/A,392.92,,,,,
686,16-Jun-2025,Powder,5,Ton,N/A,N/A,273.01,,,,,
687,16-Jun-2025,0-5mm,7,Ton,N/A,N/A,373.84,,,,,
688,17-Jun-2025,"3/4""",9,Ton,N/A,N/A,276.17,,,,,
689,17-Jun-2025,"3/8""",3,Ton,N/A,N/A,94.70,,,,,
690,17-Jun-2025,Powder,6,Ton,N/A,N/A,329.40,,,,,
691,17-Jun-2025,Oversize,1,Ton,N/A,N/A,26.98,,,,,
692,17-Jun-2025,Sand,23,Ton,N/A,N/A,548.13,,,,,
693,17-Jun-2025,sub-base,44,Ton,N/A,N/A,"1,586.44",,,,,
694,17-Jun-2025,0-5mm,3,Ton,N/A,N/A,158.42,,,,,
695,18-Jun-2025,"1/2""",3,Ton,N/A,N/A,95.74,,,,,
696,18-Jun-2025,"3/4""",4,Ton,N/A,N/A,98.26,,,,,
697,18-Jun-2025,"3/8""",2,Ton,N/A,N/A,80.52,,,,,
698,18-Jun-2025,Powder,4,Ton,N/A,N/A,221.20,,,,,
699,18-Jun-2025,Oversize,6,Ton,N/A,N/A,188.50,,,,,
700,18-Jun-2025,Sand,30,Ton,N/A,N/A,694.85,,,,,
701,18-Jun-2025,sub-base,27,Ton,N/A,N/A,830.46,,,,,
702,18-Jun-2025,0-5mm,6,Ton,N/A,N/A,308.20,,,,,
703,19-Jun-2025,"1/2""",1,Ton,N/A,N/A,24.56,,,,,
704,19-Jun-2025,"3/4""",5,Ton,N/A,N/A,76.02,,,,,
705,19-Jun-2025,"3/8""",2,Ton,N/A,N/A,55.94,,,,,
706,19-Jun-2025,Powder,4,Ton,N/A,N/A,215.40,,,,,
707,19-Jun-2025,Oversize,4,Ton,N/A,N/A,127.78,,,,,
708,19-Jun-2025,Sand,13,Ton,N/A,N/A,297.73,,,,,
709,19-Jun-2025,sub-base,23,Ton,N/A,N/A,709.38,,,,,
710,19-Jun-2025,0-5mm,4,Ton,N/A,N/A,210.48,,,,,
711,20-Jun-2025,Sand,2,Ton,N/A,N/A,55.68,,,,,
712,20-Jun-2025,sub-base,1,Ton,N/A,N/A,31.86,,,,,
713,20-Jun-2025,0-5mm,1,Ton,N/A,N/A,54.30,,,,,
714,21-Jun-2025,"1/2""",N/A,Ton,N/A,N/A,24.10,,,,,
715,21-Jun-2025,"3/4""",N/A,Ton,N/A,N/A,255.36,,,,,
716,21-Jun-2025,"3/8""",N/A,Ton,N/A,N/A,142.14,,,,,
717,21-Jun-2025,Powder,N/A,Ton,N/A,N/A,436.93,,,,,
718,21-Jun-2025,Oversize,N/A,Ton,N/A,N/A,338.58,,,,,
719,21-Jun-2025,Sand,N/A,Ton,N/A,N/A,459.14,,,,,
720,21-Jun-2025,sub-base,N/A,Ton,N/A,N/A,"1,238.99",,,,,
721,21-Jun-2025,0-5mm,N/A,Ton,N/A,N/A,76.27,,,,,
722,21-Jun-2025,Sc1(0-38mm),N/A,Ton,N/A,N/A,60.22,,,,,
723,22-Jun-2025,"1/2""",N/A,Ton,N/A,N/A,69.72,,,,,
724,22-Jun-2025,"3/4""",N/A,Ton,N/A,N/A,180.22,,,,,
725,22-Jun-2025,"3/8""",N/A,Ton,N/A,N/A,149.58,,,,,
726,22-Jun-2025,Powder,N/A,Ton,N/A,N/A,364.1,,,,,
727,22-Jun-2025,Oversize,N/A,Ton,N/A,N/A,523.86,,,,,
728,22-Jun-2025,Sand,N/A,Ton,N/A,N/A,857.02,,,,,
729,22-Jun-2025,sub-base,N/A,Ton,N/A,N/A,90.20,,,,,
730,22-Jun-2025,0-5mm,N/A,Ton,N/A,N/A,236.26,,,,,
731,22-Jun-2025,Sc1(0-38mm),N/A,Ton,N/A,N/A,273.20,,,,,
732,22-Jun-2025,PIPE BEDDING,N/A,Ton,N/A,N/A,70.28,,,,,
733,23-Jun-2025,"3/4""",N/A,Ton,N/A,N/A,480.84,,,,,
734,23-Jun-2025,"3/8""",N/A,Ton,N/A,N/A,184.70,,,,,
735,23-Jun-2025,Powder,N/A,Ton,N/A,N/A,209.45,,,,,
736,23-Jun-2025,Oversize,N/A,Ton,N/A,N/A,753.42,,,,,
737,23-Jun-2025,Sand,N/A,Ton,N/A,N/A,755.00,,,,,
738,23-Jun-2025,sub-base,N/A,Ton,N/A,N/A,107.66,,,,,
739,23-Jun-2025,0-5mm,N/A,Ton,N/A,N/A,246.42,,,,,
740,23-Jun-2025,PIPE BEDDING,N/A,Ton,N/A,N/A,246.06,,,,,
741,23-Jun-2025,Base course,N/A,Ton,N/A,N/A,30.00,,,,,
742,24-Jun-2025,"3/4""",N/A,Ton,N/A,N/A,552.78,,,,,
743,24-Jun-2025,"3/8""",N/A,Ton,N/A,N/A,216.22,,,,,
744,24-Jun-2025,Powder,N/A,Ton,N/A,N/A,424.33,,,,,
745,24-Jun-2025,Oversize,N/A,Ton,N/A,N/A,529.84,,,,,
746,24-Jun-2025,Sand,N/A,Ton,N/A,N/A,424.33,,,,,
747,24-Jun-2025,sub-base,N/A,Ton,N/A,N/A,806.76,,,,,
748,24-Jun-2025,0-5mm,N/A,Ton,N/A,N/A,269.88,,,,,
749,24-Jun-2025,Base course,N/A,Ton,N/A,N/A,105.31,,,,,
750,25-Jun-2025,"3/4""",N/A,Ton,N/A,N/A,536.46,,,,,
751,25-Jun-2025,"3/8""",N/A,Ton,N/A,N/A,195.32,,,,,
752,25-Jun-2025,Powder,N/A,Ton,N/A,N/A,103.35,,,,,
753,25-Jun-2025,Oversize(1-3TON),N/A,Ton,N/A,N/A,433.46,,,,,
754,25-Jun-2025,Sand,N/A,Ton,N/A,N/A,566.89,,,,,
755,25-Jun-2025,sub-base,N/A,Ton,N/A,N/A,"1,266.89",,,,,
756,25-Jun-2025,0-5mm,N/A,Ton,N/A,N/A,297.65,,,,,
757,26-Jun-2025,"1/2""",N/A,Ton,N/A,N/A,32.38,,,,,
758,26-Jun-2025,"3/4""",N/A,Ton,N/A,N/A,37.08,,,,,
759,26-Jun-2025,"3/8""",N/A,Ton,N/A,N/A,295.94,,,,,
760,26-Jun-2025,Powder,N/A,Ton,N/A,N/A,103.55,,,,,
761,26-Jun-2025,Oversize,N/A,Ton,N/A,N/A,37.28,,,,,
