Type,Sub-Type,Description,Shift,Unit,Input,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,9-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,Total
Production,CRU-PRO,Aggregate 3/8,D&N,Ton,0,560.00,560.00,560.00,0.00,420.00,490.00,630.00,840.00,630.00,700.00,0.00,560.00,560.00,700.00,630.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"7,840.00"
Production,CRU-PRO,Zero 3/16,D&N,Ton,0,40.00,40.00,40.00,0.00,30.00,35.00,45.00,60.00,45.00,50.00,0.00,40.00,40.00,50.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,560.00
Production,CRU-PRO,Micro 1/16,D&N,Ton,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Production,CRU-PRO,Powder,D&N,Ton,0,320.00,320.00,320.00,0.00,240.00,280.00,360.00,480.00,270.00,300.00,0.00,240.00,240.00,300.00,270.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,940.00"
Production,CRU-PRO,Oversize,D&N,Ton,0,400.00,400.00,400.00,0.00,350.00,300.00,350.00,200.00,400.00,450.00,0.00,350.00,350.00,550.00,400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,900.00"
Production,CRU-PRO,0-5mm,D&N,Ton,0,320.00,320.00,320.00,0.00,240.00,280.00,360.00,480.00,450.00,500.00,0.00,400.00,400.00,500.00,450.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,020.00"
Production,CRU-PRO,"2""",D&N,Ton,0,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,200.00
Production,CRU-PRO,"1.5""",D&N,Ton,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,0.00
Production,CRU-PRO,"1""",D&N,Ton,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,0.00
Production,CRU-PRO,Sub-grade,D&N,Ton,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,0.00
Production,CRU-PRO,Subbase,D&N,Ton,0,800.00,800.00,800.00,0.00,700.00,600.00,700.00,400.00,800.00,900.00,0.00,700.00,700.00,1100.00,800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,800.00"
Production,CRU-PRO,sand,D&N,Ton,0,810.00,945.00,945.00,0.00,810.00,810.00,810.00,945.00,945.00,945.00,0.00,810.00,810.00,1215.00,540.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,340.00"
Production,CRU-PRO,A1A,D&N,Ton,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,0.00
Production,CRU-PRO,Feed,D&N,Ton,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,0.00
Production,CRU-PRO,CDW Processed Materials,D&N,Ton,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,0.00
Production,CRU-PRO,CDW  Materials,D&N,Ton,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,0.00
Production,CRU-PRO,Pure Materials,D&N,Ton,0,4010.00,4145.00,4145.00,100.00,3360.00,3460.00,4110.00,4545.00,4395.00,4795.00,0.00,3960.00,3860.00,5365.00,3990.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"54,240.00"
Production,CRU-PRO,Mixing Ratio,D&N,%,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00
Production,CRU-PRO,CDW & Pure  Materials,D&N,Ton,0,"4,010","4,145","4,145",100,"3,360","3,460","4,110","4,545","4,395","4,795",0,"3,960","3,860","5,365","3,990",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"54,240.00"
Total Daily,,,,,0,"15,800","15,658","13,729",903,"12,567","13,262","14,951","17,007","16,898","17,013","1,059","16,301","16,036","16,262","12,400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#REF!
